pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 64.44, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 63.49, 0, 38823
00000000:DA:00.0, 61.49, 0, 38823
00000000:0F:00.0, 65.11, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 64.23, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 65.25, 0, 38823
00000000:51:00.0, 60.15, 0, 38823
00000000:54:00.0, 65.58, 0, 38823
00000000:8D:00.0, 64.57, 0, 38823
00000000:92:00.0, 66.65, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.88, 0, 38823
00000000:0F:00.0, 58.94, 0, 38823
00000000:15:00.0, 61.37, 0, 38823
00000000:51:00.0, 57.25, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.40, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 63.77, 0, 38823
00000000:DA:00.0, 60.35, 0, 38823
00000000:0F:00.0, 65.04, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 57.74, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.88, 0, 38823
00000000:D6:00.0, 61.41, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 65.04, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 65.98, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.88, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.49, 0, 38823
00000000:0F:00.0, 57.47, 0, 38823
00000000:15:00.0, 61.37, 0, 38823
00000000:51:00.0, 60.69, 0, 38823
00000000:54:00.0, 65.51, 0, 38823
00000000:8D:00.0, 64.50, 0, 38823
00000000:92:00.0, 66.26, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 62.10, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 62.84, 0, 38823
00000000:51:00.0, 57.47, 0, 38823
00000000:54:00.0, 59.60, 0, 38823
00000000:8D:00.0, 58.67, 0, 38823
00000000:92:00.0, 62.44, 0, 38823
00000000:D6:00.0, 63.49, 0, 38823
00000000:DA:00.0, 60.63, 0, 38823
00000000:0F:00.0, 63.57, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 59.21, 0, 38823
00000000:54:00.0, 59.88, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.81, 0, 38823
00000000:D6:00.0, 61.69, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 66.51, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 64.72, 0, 38823
00000000:54:00.0, 59.60, 0, 38823
00000000:8D:00.0, 58.28, 0, 38823
00000000:92:00.0, 59.81, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 61.10, 0, 38823
00000000:51:00.0, 62.76, 0, 38823
00000000:54:00.0, 65.51, 0, 38823
00000000:8D:00.0, 64.78, 0, 38823
00000000:92:00.0, 66.32, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 62.10, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 63.16, 0, 38823
00000000:51:00.0, 57.47, 0, 38823
00000000:54:00.0, 59.60, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 60.69, 0, 38823
00000000:D6:00.0, 63.77, 0, 38823
00000000:DA:00.0, 60.63, 0, 38823
00000000:0F:00.0, 64.44, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 58.94, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.88, 0, 38823
00000000:D6:00.0, 63.49, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 66.19, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 64.44, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.88, 0, 38823
00000000:D6:00.0, 57.58, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 59.36, 0, 38823
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 66.04, 0, 38823
00000000:8D:00.0, 64.78, 0, 38823
00000000:92:00.0, 66.58, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 61.76, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 63.16, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 62.29, 0, 38823
00000000:8D:00.0, 66.26, 0, 38823
00000000:92:00.0, 67.73, 0, 38823
00000000:D6:00.0, 62.50, 0, 38823
00000000:DA:00.0, 62.37, 0, 38823
00000000:0F:00.0, 63.29, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.60, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 63.97, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 65.91, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 62.76, 0, 38823
00000000:54:00.0, 59.67, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 63.49, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 60.63, 0, 38823
00000000:15:00.0, 56.69, 0, 38823
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 62.29, 0, 38823
00000000:8D:00.0, 58.07, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 57.89, 0, 38823
00000000:51:00.0, 64.78, 0, 38823
00000000:54:00.0, 66.04, 0, 38823
00000000:8D:00.0, 63.91, 0, 38823
00000000:92:00.0, 65.11, 0, 38823
00000000:D6:00.0, 57.53, 0, 38823
00000000:DA:00.0, 61.82, 0, 38823
00000000:0F:00.0, 57.41, 0, 38823
00000000:15:00.0, 63.10, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 62.50, 0, 38823
00000000:8D:00.0, 71.82, 0, 38823
00000000:92:00.0, 67.73, 0, 38823
00000000:D6:00.0, 58.73, 0, 38823
00000000:DA:00.0, 62.10, 0, 38823
00000000:0F:00.0, 65.04, 0, 38823
00000000:15:00.0, 57.02, 0, 38823
00000000:51:00.0, 57.19, 0, 38823
00000000:54:00.0, 59.60, 0, 38823
00000000:8D:00.0, 58.34, 0, 38823
00000000:92:00.0, 59.60, 0, 38823
00000000:D6:00.0, 71.35, 0, 38823
00000000:DA:00.0, 60.35, 0, 38823
00000000:0F:00.0, 70.33, 0, 38823
